date;BTS Comdty;CN Comdty;DU Comdty;FV Comdty;G  Comdty;IK Comdty;JB Comdty;KAA Comdty;KE Comdty;OAT Comdty;OE Comdty;RX Comdty;TFC Comdty;TFS Comdty;TFT Comdty;TU Comdty;TY Comdty;UB Comdty;US Comdty;UXY Comdty;WN Comdty;XM Comdty;XQ Comdty;YM Comdty
1978-05-24;;;;;;;;;;;;;;;;;;;93.4694647365;;;;;
1978-05-25;;;;;;;;;;;;;;;;;;;93.2831468666;;;;;
1978-05-26;;;;;;;;;;;;;;;;;;;93.22104091;;;;;
1978-05-30;;;;;;;;;;;;;;;;;;;93.0968289967;;;;;
1978-05-31;;;;;;;;;;;;;;;;;;;93.0657760184;;;;;
1978-06-01;;;;;;;;;;;;;;;;;;;93.2520938883;;;;;
1978-06-02;;;;;;;;;;;;;;;;;;;93.6247296281;;;;;
1978-06-05;;;;;;;;;;;;;;;;;;;93.717888563;;;;;
1978-06-06;;;;;;;;;;;;;;;;;;;93.8731534546;;;;;
1978-06-07;;;;;;;;;;;;;;;;;;;94.0284183462;;;;;
1978-06-08;;;;;;;;;;;;;;;;;;;93.8421004763;;;;;
1978-06-09;;;;;;;;;;;;;;;;;;;93.7489415414;;;;;
1978-06-12;;;;;;;;;;;;;;;;;;;93.6557826064;;;;;
1978-06-13;;;;;;;;;;;;;;;;;;;93.6557826064;;;;;
1978-06-14;;;;;;;;;;;;;;;;;;;93.9352594113;;;;;
1978-06-15;;;;;;;;;;;;;;;;;;;93.8731534546;;;;;
1978-06-16;;;;;;;;;;;;;;;;;;;93.6247296281;;;;;
1978-06-19;;;;;;;;;;;;;;;;;;;93.5005177148;;;;;
1978-06-20;;;;;;;;;;;;;;;;;;;93.22104091;;;;;
1978-06-21;;;;;;;;;;;;;;;;;;;92.9105111268;;;;;
1978-06-22;;;;;;;;;;;;;;;;;;;93.0347230401;;;;;
1978-06-23;;;;;;;;;;;;;;;;;;;92.7241932569;;;;;
1978-06-26;;;;;;;;;;;;;;;;;;;92.5068224087;;;;;
1978-06-27;;;;;;;;;;;;;;;;;;;92.6931402786;;;;;
1978-06-28;;;;;;;;;;;;;;;;;;;92.8173521918;;;;;
1978-06-29;;;;;;;;;;;;;;;;;;;92.6931402786;;;;;
1978-06-30;;;;;;;;;;;;;;;;;;;92.4136634737;;;;;
1978-07-03;;;;;;;;;;;;;;;;;;;92.5068224087;;;;;
1978-07-05;;;;;;;;;;;;;;;;;;;92.2894515604;;;;;
1978-07-06;;;;;;;;;;;;;;;;;;;92.4136634737;;;;;
1978-07-07;;;;;;;;;;;;;;;;;;;91.9789217773;;;;;
1978-07-10;;;;;;;;;;;;;;;;;;;91.6062860374;;;;;
1978-07-11;;;;;;;;;;;;;;;;;;;91.761550929;;;;;
1978-07-12;;;;;;;;;;;;;;;;;;;91.5752330591;;;;;
1978-07-13;;;;;;;;;;;;;;;;;;;91.5752330591;;;;;
1978-07-14;;;;;;;;;;;;;;;;;;;91.7926039073;;;;;
1978-07-17;;;;;;;;;;;;;;;;;;;92.1341866688;;;;;
1978-07-18;;;;;;;;;;;;;;;;;;;92.1652396472;;;;;
1978-07-19;;;;;;;;;;;;;;;;;;;92.3205045387;;;;;
1978-07-20;;;;;;;;;;;;;;;;;;;91.9789217773;;;;;
1978-07-21;;;;;;;;;;;;;;;;;;;91.9478687989;;;;;
1978-07-24;;;;;;;;;;;;;;;;;;;91.8236568857;;;;;
1978-07-25;;;;;;;;;;;;;;;;;;;91.9789217773;;;;;
1978-07-26;;;;;;;;;;;;;;;;;;;92.1962926255;;;;;
1978-07-27;;;;;;;;;;;;;;;;;;;92.7241932569;;;;;
1978-07-28;;;;;;;;;;;;;;;;;;;93.1589349533;;;;;
1978-07-31;;;;;;;;;;;;;;;;;;;92.9726170834;;;;;
1978-08-01;;;;;;;;;;;;;;;;;;;93.1589349533;;;;;
1978-08-02;;;;;;;;;;;;;;;;;;;93.904206433;;;;;
1978-08-03;;;;;;;;;;;;;;;;;;;94.6494779126;;;;;
1978-08-04;;;;;;;;;;;;;;;;;;;94.7115838692;;;;;
1978-08-07;;;;;;;;;;;;;;;;;;;94.9600076958;;;;;
1978-08-08;;;;;;;;;;;;;;;;;;;95.177378544;;;;;
1978-08-09;;;;;;;;;;;;;;;;;;;95.177378544;;;;;
1978-08-10;;;;;;;;;;;;;;;;;;;94.4321070644;;;;;
1978-08-11;;;;;;;;;;;;;;;;;;;94.401054086;;;;;
1978-08-14;;;;;;;;;;;;;;;;;;;93.904206433;;;;;
1978-08-15;;;;;;;;;;;;;;;;;;;94.0284183462;;;;;
1978-08-16;;;;;;;;;;;;;;;;;;;93.2831468666;;;;;
1978-08-17;;;;;;;;;;;;;;;;;;;93.717888563;;;;;
1978-08-18;;;;;;;;;;;;;;;;;;;93.9973653679;;;;;
1978-08-21;;;;;;;;;;;;;;;;;;;94.4631600427;;;;;
1978-08-22;;;;;;;;;;;;;;;;;;;94.2768421728;;;;;
1978-08-23;;;;;;;;;;;;;;;;;;;95.0221136524;;;;;
1978-08-24;;;;;;;;;;;;;;;;;;;94.8047428042;;;;;
1978-08-25;;;;;;;;;;;;;;;;;;;95.2413435934;;;;;
1978-08-28;;;;;;;;;;;;;;;;;;;94.9918574281;;;;;
1978-08-29;;;;;;;;;;;;;;;;;;;94.8983001161;;;;;
1978-08-30;;;;;;;;;;;;;;;;;;;94.6799997215;;;;;
1978-08-31;;;;;;;;;;;;;;;;;;;95.0230431988;;;;;
1978-09-01;;;;;;;;;;;;;;;;;;;94.9606716575;;;;;
1978-09-05;;;;;;;;;;;;;;;;;;;95.5220155293;;;;;
1978-09-06;;;;;;;;;;;;;;;;;;;95.5220155293;;;;;
1978-09-07;;;;;;;;;;;;;;;;;;;95.4284582174;;;;;
1978-09-08;;;;;;;;;;;;;;;;;;;95.5843870707;;;;;
1978-09-11;;;;;;;;;;;;;;;;;;;95.8650590066;;;;;
1978-09-12;;;;;;;;;;;;;;;;;;;95.9274305479;;;;;
1978-09-13;;;;;;;;;;;;;;;;;;;95.7091301533;;;;;
1978-09-14;;;;;;;;;;;;;;;;;;;95.646758612;;;;;
1978-09-15;;;;;;;;;;;;;;;;;;;95.4908297587;;;;;
1978-09-18;;;;;;;;;;;;;;;;;;;95.1166005108;;;;;
1978-09-19;;;;;;;;;;;;;;;;;;;94.8671143455;;;;;
1978-09-20;;;;;;;;;;;;;;;;;;;94.181027391;;;;;
1978-09-21;;;;;;;;;;;;;;;;;;;93.993912767;;;;;
1978-09-22;;;;;;;;;;;;;;;;;;;93.4949404365;;;;;
1978-09-25;;;;;;;;;;;;;;;;;;;93.4013831245;;;;;
1978-09-26;;;;;;;;;;;;;;;;;;;93.7444266018;;;;;
1978-09-27;;;;;;;;;;;;;;;;;;;93.3078258125;;;;;
1978-09-28;;;;;;;;;;;;;;;;;;;93.4013831245;;;;;
1978-09-29;;;;;;;;;;;;;;;;;;;93.1207111886;;;;;
1978-10-02;;;;;;;;;;;;;;;;;;;92.8712250233;;;;;
1978-10-03;;;;;;;;;;;;;;;;;;;93.1518969592;;;;;
1978-10-04;;;;;;;;;;;;;;;;;;;92.8712250233;;;;;
1978-10-05;;;;;;;;;;;;;;;;;;;92.902410794;;;;;
1978-10-06;;;;;;;;;;;;;;;;;;;93.3390115832;;;;;
1978-10-09;;;;;;;;;;;;;;;;;;;93.3701973538;;;;;
1978-10-10;;;;;;;;;;;;;;;;;;;93.4949404365;;;;;
1978-10-11;;;;;;;;;;;;;;;;;;;93.4325688952;;;;;
1978-10-12;;;;;;;;;;;;;;;;;;;93.5884977485;;;;;
1978-10-13;;;;;;;;;;;;;;;;;;;93.3390115832;;;;;
1978-10-16;;;;;;;;;;;;;;;;;;;92.902410794;;;;;
1978-10-17;;;;;;;;;;;;;;;;;;;92.8712250233;;;;;
1978-10-18;;;;;;;;;;;;;;;;;;;92.4969957754;;;;;
1978-10-19;;;;;;;;;;;;;;;;;;;92.3410669221;;;;;
1978-10-20;;;;;;;;;;;;;;;;;;;92.1539522981;;;;;
1978-10-23;;;;;;;;;;;;;;;;;;;92.621738858;;;;;
1978-10-24;;;;;;;;;;;;;;;;;;;92.5593673167;;;;;
1978-10-25;;;;;;;;;;;;;;;;;;;92.4034384634;;;;;
1978-10-26;;;;;;;;;;;;;;;;;;;91.9044661329;;;;;
1978-10-27;;;;;;;;;;;;;;;;;;;91.5614226556;;;;;
1978-10-30;;;;;;;;;;;;;;;;;;;91.0936360957;;;;;
1978-10-31;;;;;;;;;;;;;;;;;;;90.9688930131;;;;;
1978-11-01;;;;;;;;;;;;;;;;;;;91.7173515089;;;;;
1978-11-02;;;;;;;;;;;;;;;;;;;92.4658100047;;;;;
1978-11-03;;;;;;;;;;;;;;;;;;;91.7797230502;;;;;
1978-11-06;;;;;;;;;;;;;;;;;;;91.9356519035;;;;;
1978-11-08;;;;;;;;;;;;;;;;;;;91.8109088209;;;;;
1978-11-09;;;;;;;;;;;;;;;;;;;91.7173515089;;;;;
1978-11-10;;;;;;;;;;;;;;;;;;;92.1227665275;;;;;
1978-11-13;;;;;;;;;;;;;;;;;;;92.2786953808;;;;;
1978-11-14;;;;;;;;;;;;;;;;;;;92.6529246287;;;;;
1978-11-15;;;;;;;;;;;;;;;;;;;93.1207111886;;;;;
1978-11-16;;;;;;;;;;;;;;;;;;;92.9647823353;;;;;
1978-11-17;;;;;;;;;;;;;;;;;;;93.0583396473;;;;;
1978-11-20;;;;;;;;;;;;;;;;;;;93.0271538766;;;;;
1978-11-21;;;;;;;;;;;;;;;;;;;92.5593673167;;;;;
1978-11-22;;;;;;;;;;;;;;;;;;;92.7776677113;;;;;
1978-11-24;;;;;;;;;;;;;;;;;;;92.030214195;;;;;
1978-11-27;;;;;;;;;;;;;;;;;;;91.9990702985;;;;;
1978-11-28;;;;;;;;;;;;;;;;;;;91.967926402;;;;;
1978-11-29;;;;;;;;;;;;;;;;;;;92.030214195;;;;;
1978-11-30;;;;;;;;;;;;;;;;;;;92.2793653671;;;;;
1978-12-01;;;;;;;;;;;;;;;;;;;92.6842360218;;;;;
1978-12-04;;;;;;;;;;;;;;;;;;;92.1859336776;;;;;
1978-12-05;;;;;;;;;;;;;;;;;;;92.0613580915;;;;;
1978-12-06;;;;;;;;;;;;;;;;;;;92.1547897811;;;;;
1978-12-07;;;;;;;;;;;;;;;;;;;91.905638609;;;;;
1978-12-08;;;;;;;;;;;;;;;;;;;91.8744947125;;;;;
1978-12-11;;;;;;;;;;;;;;;;;;;91.8744947125;;;;;
1978-12-12;;;;;;;;;;;;;;;;;;;91.6876313334;;;;;
1978-12-13;;;;;;;;;;;;;;;;;;;91.0647534031;;;;;
1978-12-14;;;;;;;;;;;;;;;;;;;91.2204728857;;;;;
1978-12-15;;;;;;;;;;;;;;;;;;;90.877890024;;;;;
1978-12-18;;;;;;;;;;;;;;;;;;;90.1304365077;;;;;
1978-12-19;;;;;;;;;;;;;;;;;;;90.1304365077;;;;;
1978-12-20;;;;;;;;;;;;;;;;;;;90.0058609217;;;;;
1978-12-21;;;;;;;;;;;;;;;;;;;90.1615804043;;;;;
1978-12-22;;;;;;;;;;;;;;;;;;;90.5975949554;;;;;
1978-12-26;;;;;;;;;;;;;;;;;;;90.4107315764;;;;;
1978-12-27;;;;;;;;;;;;;;;;;;;90.3795876798;;;;;
1978-12-28;;;;;;;;;;;;;;;;;;;89.8501414391;;;;;
1978-12-29;;;;;;;;;;;;;;;;;;;90.0370048182;;;;;
1979-01-02;;;;;;;;;;;;;;;;;;;89.7878536461;;;;;
1979-01-03;;;;;;;;;;;;;;;;;;;90.1304365077;;;;;
1979-01-04;;;;;;;;;;;;;;;;;;;90.3795876798;;;;;
1979-01-05;;;;;;;;;;;;;;;;;;;90.0681487147;;;;;
1979-01-08;;;;;;;;;;;;;;;;;;;89.7255658531;;;;;
1979-01-09;;;;;;;;;;;;;;;;;;;89.538702474;;;;;
1979-01-10;;;;;;;;;;;;;;;;;;;89.600990267;;;;;
1979-01-11;;;;;;;;;;;;;;;;;;;89.9435731287;;;;;
1979-01-12;;;;;;;;;;;;;;;;;;;90.0992926112;;;;;
1979-01-15;;;;;;;;;;;;;;;;;;;90.0058609217;;;;;
1979-01-16;;;;;;;;;;;;;;;;;;;89.8189975426;;;;;
1979-01-17;;;;;;;;;;;;;;;;;;;89.8501414391;;;;;
1979-01-18;;;;;;;;;;;;;;;;;;;89.8189975426;;;;;
1979-01-19;;;;;;;;;;;;;;;;;;;90.1615804043;;;;;
1979-01-22;;;;;;;;;;;;;;;;;;;90.4107315764;;;;;
1979-01-23;;;;;;;;;;;;;;;;;;;90.2861559903;;;;;
1979-01-24;;;;;;;;;;;;;;;;;;;90.815602231;;;;;
1979-01-25;;;;;;;;;;;;;;;;;;;91.3761923682;;;;;
1979-01-26;;;;;;;;;;;;;;;;;;;91.5319118508;;;;;
1979-01-29;;;;;;;;;;;;;;;;;;;91.0024656101;;;;;
1979-01-30;;;;;;;;;;;;;;;;;;;91.2516167822;;;;;
1979-01-31;;;;;;;;;;;;;;;;;;;91.1893289892;;;;;
