date;CF Index;DM Index;EO Index;ES Index;FA Index;FFB Index;FFD Index;FT Index;GX Index;HC Index;HI Index;HWA Index;HWB Index;IB Index;IFB Index;IFD Index;KM Index;MES Index;MX Index;NH Index;NI Index;NK Index;NO Index;NQ Index;PT Index;RTY Index;SM Index;ST Index;TP Index;UX Index;VG Index;XB Index;XP Index;Z  Index
2021-09-14;280.1320159246;385.6365732297;797.4508464576;414.7879418802;507.7948720771;20.6231866049;39.4410910163;17.7865560907;586.2339102654;40.281586859;86.7527456703;152.9781229442;194.9573843628;130.2601970891;27.90099873;;0.1457795884;162.0070463385;20.9081040925;3.2253845009;0.7080906465;0.9063218568;2.2925730393;494.2102220917;266.310914458;155.3587759097;161.6045987825;165.6038491195;0.7536361029;111.30114008;206.3428538493;37.6132223973;188.3265714736;483.6302477546
2021-09-15;277.2833737037;388.2884960435;794.0555820578;418.2672670894;513.5657012062;20.3261121276;39.6092771515;17.7012686639;583.1433082215;39.7510943791;85.3743632697;154.2613344021;196.4373352479;128.0672878346;27.5408366818;;0.1458929882;161.8565171433;20.8086948338;3.2553391217;0.7058158358;0.9047637827;2.2886536218;497.9618463658;268.2352573917;157.0705048849;160.1603601714;163.8146409766;0.746471049;115.0313969767;204.5055863745;37.4821025606;187.8964197436;483.5393342372
2021-09-16;278.9269363383;387.4492799632;798.0310854276;417.5377311584;512.6515104531;20.3234916399;38.835793492;17.610389917;584.1447832377;39.1281260855;84.0509334607;153.9922739352;196.6021263529;129.5019509349;27.3629630081;;0.1447873772;160.1003431992;20.7027684482;3.2468087588;0.7020813906;0.9001049076;2.2769339754;498.3795861137;266.979347124;156.9366659938;160.7426431057;165.3214133566;0.7453889992;116.5897768214;205.4073432852;37.3004013593;189.2783053572;483.2979325567
2021-09-17;276.7335299782;385.6141941343;789.2051409777;413.5720486619;508.4043325792;20.4934219243;38.4553820625;17.6630934813;576.9358250607;39.7468430928;84.8465598969;152.5296888326;194.276036525;129.9694701861;27.6502702599;;0.1452525562;159.4355059204;20.7641986314;3.229796133;0.7071352773;0.9047506478;2.2886205802;492.4830289035;265.1370935273;156.9648426024;159.5289433178;163.647125595;0.7486259967;108.750612285;202.8580124515;36.9723089571;187.4701617191;477.8455408794
2021-09-20;272.0440296691;378.6431058937;778.2582894747;406.6928989538;500.3861178487;;;;564.8856431661;38.3602896231;82.0726129514;149.9925866087;190.2640069308;128.3538420578;;;;155.1077915583;;3.1582695388;0.6909779824;;;482.3126727343;261.1213589152;153.3371042396;156.8674492072;159.3803500091;;96.2325704601;199.1377972666;36.6273829698;183.6128480229;475.479098324
2021-09-21;276.1802666756;378.1843344365;786.182935925;406.225247716;499.6433378618;;;;571.8014298987;38.3426258588;82.4279946637;149.8201119504;190.447812394;129.6559698654;;;;156.1740400243;;3.1877108075;0.6896388782;0.8863519057;2.2423375728;482.7786132224;262.3636190479;153.6259144781;157.3373094;161.3599650367;0.734719955;100.2981702692;201.6843045602;36.8035702781;184.1866766262;479.7246130859
2021-09-22;279.6844224452;381.8880747376;792.1805501804;410.0366053041;506.4235859475;20.2523679716;38.860510571;17.2224416145;578.116037605;;;151.2257804157;192.2161477128;130.5846003377;27.4661607768;;;158.2312723588;20.2505839395;3.1861110727;0.6852367649;0.8788963455;2.2235827175;487.2612820552;264.5787096821;156.0209262129;158.1489300702;163.8193045727;0.7251961796;105.9917247972;204.5825555214;37.0725842903;185.1138810279;486.2131905116
2021-09-23;282.3723244569;387.6506918225;800.4688313294;415.0872386724;513.4895186435;20.2706234351;39.0475486106;17.4238779192;583.6528479877;38.8813429894;83.5888486109;153.0885067256;193.990821151;131.6897114494;27.5745408747;;0.144914715;159.4104177212;20.4853739255;3.2216762711;0.6937354344;;;491.7600178014;265.5524410658;158.8597195337;159.7446445577;166.4527939071;;113.1849693582;207.1342755043;37.3106593939;186.9311001945;486.2734335506
2021-09-24;279.7744806239;387.9863782546;791.4142937461;415.812098091;512.5181909683;20.4376312702;38.7911626553;17.6123399494;579.2013605907;38.2630159277;82.3939049459;153.3558424459;194.1841337933;131.5727006768;27.7287744922;;0.1448300406;157.503714582;20.7050413655;3.2148123349;0.7002075536;0.8982745141;2.2723295238;492.2500586595;264.7592345809;158.0707744917;157.9971346779;165.7367703413;0.7457707532;117.4783893788;205.2637601006;37.2182758161;185.7799481497;484.6252473381
2021-09-27;280.3262122772;388.7584570485;788.6957727438;414.6195874346;517.2796011408;20.7064511074;37.8368697679;17.6616883618;581.4070362049;38.1216822121;82.3871346398;152.9160320672;192.6122801767;133.5127858323;27.8782114362;;0.1452389593;158.5197866496;20.7625608532;3.2169195571;0.6982307563;0.8961262352;2.2669254147;488.2654641414;265.8216971385;160.3953447048;156.4220720703;166.8267360043;0.7421355476;115.7587336704;205.7869678133;37.2373901174;187.0623016695;485.3161521578
