date;5y Note;2y Note;10y Note;30y Bond;10y Note Ultra;30y Bond Ultra
2023-02-21;93.4415771003;95.8981980744;92.8898598871;91.088086994;92.1733955208;82.8371679768
2023-02-22;93.5164652114;95.9092069365;93.0069479458;91.4519842884;92.3829241276;83.5504116618
2023-02-23;93.6186386124;95.9128765572;93.2151044946;91.9068559064;92.7033491916;84.1866208647
2023-02-24;93.1827278271;95.6596727281;92.7597620441;90.9743236023;92.185709132;83.1456143512
2023-02-27;93.3393968878;95.7037081766;92.92888924;91.2017594113;92.3706105163;83.376949132
2023-02-28;93.332599404;95.6926993145;92.9679185929;91.1335741558;92.4445291618;83.319076881
2023-03-01;92.9715767299;95.5018790374;92.4215076524;90.3375033371;91.8035804263;82.9142795704
2023-03-02;92.7536213373;95.4725220717;92.0051945549;89.5642215865;91.2612391886;82.0081797898
2023-03-03;92.9988620206;95.5569233481;92.4995663582;90.8833492787;92.0500991707;83.8588580361
2023-03-06;92.9238853655;95.494539796;92.4084978681;90.7014006315;91.9021879241;83.4347442714
2023-03-07;92.7400195581;95.2890410361;92.3824782995;91.0198107641;91.9761805252;83.704634849
2023-03-08;92.6310418618;95.1862916562;92.3564587309;91.2245484794;92.0007954218;83.9359696297
2023-03-09;93.1350432743;95.5055486582;92.8248109656;91.5884457738;92.3829241276;84.1095092711
2023-03-10;94.1703313893;96.1183753171;94.2038481012;94.1357268347;94.0962417273;86.8276543896
2023-03-13;95.3282807121;97.1458691166;95.4657971781;95.7277774977;95.5013615928;87.8108657638
2023-03-14;94.7901965259;96.7789070453;94.8022981789;94.5678093846;94.5768916493;86.364984828
2023-03-15;95.6824173584;97.2559577379;95.8560907071;95.8414499151;95.6985765883;87.772309967
2023-03-16;95.0081519185;96.9623880809;95.0755036492;95.0454700707;94.9467190697;86.9626382342
2023-03-17;96.0979288816;97.4981527049;96.4285212162;96.5920335719;96.3765277874;88.7362048869
2023-03-20;95.6415302894;97.3330197729;95.8300711385;95.6595012679;95.686275303;87.5409751862
2023-03-21;94.946858775;96.8486298389;95.023464512;94.6132965464;94.7248028959;86.5192080152
2023-03-22;95.655213801;97.2302703929;95.8300711385;95.3183930415;95.5136628781;87.1554172182
2023-03-23;96.3021939511;97.5531970156;96.5716288434;95.9097261449;96.2532191114;87.386751999
2023-03-24;96.322681758;97.5972324642;96.6757071178;96.3191106011;96.4874365705;87.965088951
2023-03-27;95.5802371459;97.1825653237;95.7390026484;94.8635214235;95.3411490608;86.172205844
2023-03-28;95.3077929051;97.0064235295;95.4527873938;94.5678093846;95.0576278528;85.8252036729
2023-03-29;95.2397090894;96.9660577017;95.3617189037;94.476835061;95.0330129562;85.8637594697
2023-03-30;95.2737918639;96.9073437703;95.4007482566;94.7270599381;95.1316204539;86.230078095
2023-03-31;95.4712594496;96.9733969431;95.6869635112;95.4548545269;95.562966627;87.0589891704
2023-04-03;95.8117943177;97.1238513923;96.1292961773;96.0233985623;96.0314015452;87.7337541702
2023-04-04;96.3771706061;97.4027425664;96.7927951765;96.8876546365;96.7586441672;88.5626652455
2023-04-05;96.5542389289;97.5311792913;97.0660006468;97.5699620635;97.1776890549;89.1603186517
2023-04-06;96.4861483024;97.4137514286;97.0399810782;97.5927511316;97.128385306;89.3723369783
2023-04-07;95.9821468899;97.127521013;96.4155114319;96.8649565427;96.4011303581;88.4663143093
2023-04-10;95.8458839029;97.0688070816;96.1813353145;96.4782701803;96.1546116136;88.0036447478
2023-04-11;95.6960191376;96.9844058052;96.0642472558;96.3418086949;96.006700367;88.0422005446
2023-04-12;96.0025529635;97.1348602544;96.3374527261;96.1826491157;96.1300090429;87.6566425766
2023-04-13;95.8731691936;97.1238513923;96.1292961773;95.9324242387;95.8834902985;87.2517681544
2023-04-14;95.4372584084;96.885326046;95.634924374;95.1364443943;95.3288354495;86.4806522184
2023-04-17;95.1171296148;96.7348715968;95.2186112765;94.4313478992;94.798807823;85.5746295495
2023-04-18;95.1716184629;96.7128538725;95.3226895508;94.6360856145;94.9467190697;85.7674085335
2023-04-19;94.9808598162;96.5807475269;95.0755036492;94.4086498055;94.7002003252;85.6131853463
2023-04-20;95.3009954213;96.7532197003;95.4657971781;94.8407323554;95.119232887;86.1529665014
2023-04-21;95.2261073111;96.7238627346;95.3096797665;94.5451112909;94.9220178915;85.7674085335
2023-04-24;95.4508601875;96.8045943903;95.6479341583;95.159142488;95.3534503461;86.4614128758
2023-04-25;96.1183281436;97.1605475994;96.4155114319;96.3418086949;96.2532191114;87.6566425766
2023-04-26;95.9889511852;97.0981640473;96.2073548831;95.8642389831;95.969784185;87.1168614214
2023-04-27;95.4440627037;96.7899159075;95.5308460996;94.9090085853;95.2178403848;86.0565384536
2023-04-28;95.6756198746;96.8376209767;95.9211396285;95.8187518213;95.8094853714;87.2325288118
2023-05-01;95.3145972005;96.7055146311;95.3356993351;94.3631626437;94.9097166061;85.3432947687
2023-05-02;95.9752608622;96.9880754259;96.2203646674;95.6595012679;95.9204804361;86.7119869992
2023-05-03;96.1932162548;97.0614678402;96.5065799219;95.9779114005;96.2039153625;87.001194031
2023-05-04;96.7721943215;97.446778015;97.0529908625;96.1598600477;96.6107329205;86.9240824374
2023-05-05;96.166019508;97.0908248059;96.3504625104;95.3183930415;95.8711766872;86.230078095
2023-05-08;95.8186803454;96.9183526324;95.8951200599;94.5223222228;95.3164478826;85.2468667209
2023-05-09;95.8254846408;96.9000045288;95.9081298442;94.3858607374;95.2918453119;84.9577368007
2023-05-10;96.3158842742;97.1128425301;96.5065799219;95.1136553262;95.9204804361;85.6709804857
2023-05-11;96.322681758;97.0908248059;96.6236679806;95.7277774977;96.1916140772;86.4614128758
2023-05-12;95.9480641154;96.911013391;96.116286393;95.1364443943;95.6739616917;85.9023152665
2023-05-15;95.9071702348;96.911013391;95.9471591971;94.4541369673;95.3288354495;84.9769761433
2023-05-16;95.6892148422;96.7789070453;95.6869635112;93.9764762812;94.9960228186;84.4565114423
2023-05-17;95.4031756338;96.6211133547;95.4007482566;93.7263423785;94.7495040741;84.2637324583
2023-05-18;94.9740623324;96.4229538362;94.8543373161;93.0895221133;94.2071628364;83.8203022394
2023-05-19;94.7561069398;96.3789183877;94.5551122773;92.5436761716;93.837335416;83.1456143512
2023-05-22;94.6880163134;96.323874077;94.4770535715;92.2707532008;93.6648215986;82.79861218
2023-05-23;94.749309456;96.2871778699;94.5941416302;92.3844256182;93.800419234;82.9720747098
2023-05-24;94.6273234983;96.1814158762;94.4520113805;92.1346313318;93.6415013705;82.7799653412
2023-05-25;94.0244789043;95.8933056174;93.7801229274;91.4308389952;92.9446126718;82.1652153618
2023-05-26;93.7942032292;95.7218982483;93.5992298824;91.476247882;92.8712180007;82.5110122252
2023-05-30;94.2751363749;95.9334222357;94.296960199;92.656878939;93.776003249;83.4523097094
2023-05-31;94.5731346114;96.082947813;94.6587462891;93.2471944675;94.252769066;84.1439034362
2023-06-01;94.7560762937;96.1887098068;94.8784021295;93.610465562;94.4483903782;84.5089496584
2023-06-02;94.1802855015;95.864129895;94.1419090175;92.9519912944;93.7026085779;83.7596846991
2023-06-05;94.2209474879;95.8933056174;94.1806718129;92.9293322599;93.7270979209;83.6636684367
2023-06-06;94.1058096504;95.791190589;94.0902252904;92.9293322599;93.6781925928;83.8557778052
2023-06-07;93.8686790812;95.7401330748;93.6250717459;91.9075868978;93.0179339849;82.8183872149
2023-06-08;94.0990428127;95.7802496931;94.051462495;92.7249468603;93.5803819367;83.6444190779
2023-06-09;93.8212502579;95.6161362545;93.7672019956;92.6341290867;93.3358552964;83.6252465629
2023-06-12;93.8483921162;95.6380180463;93.7413601321;92.3616757659;93.2135552972;83.3562934469
2023-06-13;93.4148810207;95.4192001283;93.1728391333;91.7259513506;92.6266913604;82.8183872149
2023-06-14;93.4284011479;95.3900244059;93.3408112466;92.2708579923;92.9446126718;83.6444190779
2023-06-15;93.7467744059;95.4848455037;93.8188857228;92.8385144862;93.4702838169;84.1439034362
2023-06-16;93.4487761694;95.3462608223;93.4829414963;92.5206522786;93.1279465204;83.9710434264
2023-06-20;93.5842077451;95.3936713712;93.7025973367;93.042809068;93.4458800582;84.5281221734
2023-06-21;93.6113428303;95.3754365447;93.7025973367;93.1109678071;93.4580819375;84.6049659208
2023-06-22;93.2590744235;95.2040291756;93.2245228605;92.2708579923;92.8957073437;83.6252465629
2023-06-23;93.4419280493;95.2952033081;93.5087833598;92.9293322599;93.3235678327;84.3744346785
2023-06-26;93.5503058232;95.3243790305;93.6379926777;93.0655589203;93.4702838169;84.4128565522
2023-06-27;93.2658344871;95.1566186267;93.3020484512;92.6795379735;93.091328656;84.1054815625
2023-06-28;93.5029650564;95.233204898;93.6509136095;93.1790357284;93.519189145;84.5857934058
2023-06-29;92.8526984131;94.9378007086;92.7206065207;91.6578834293;92.4432719275;82.9720747098
2023-06-30;92.8526984131;94.9232128474;92.8368949068;92.2027900709;92.6755966884;83.7405121841
2023-07-03;92.6359428653;94.8247447843;92.5655553392;91.9984046714;92.3943665994;83.5291534568
2023-07-05;92.4055791338;94.7882751313;92.087480863;90.9994091617;91.7096920064;82.5110122252
2023-07-06;92.0059699602;94.675219207;91.4672761371;90.1139812778;90.9639102061;81.6464816447
2023-07-07;92.1482428829;94.7992160272;91.5189598643;89.9095958783;90.915004878;81.1278247715
2023-07-10;92.4869031059;94.9195658821;91.906587818;90.1366403123;91.2329261894;81.0894028977
2023-07-11;92.4936699427;94.8685083679;92.0099552723;90.3636847464;91.4285475017;81.3967778875
2023-07-12;93.1304096855;95.1456777307;92.8368949068;91.3854301084;92.333259392;82.3573247303
2023-07-13;93.6519235334;95.3900244059;93.4829414963;92.2708579923;93.1035427617;83.1449347196
2023-07-14;93.2658344871;95.1383838001;93.0823926108;91.862178011;92.6633948091;82.7415434675
2023-07-17;93.3674521974;95.1675595226;93.2116019287;91.9529957846;92.8223126727;82.7799653412
2023-07-18;93.3674521974;95.1237959389;93.2374437923;92.1119722973;92.8712180007;83.0296690985
2023-07-19;93.4623030708;95.1237959389;93.4441787009;92.7703557471;93.2013534178;83.8749503202
2023-07-20;92.9746030883;94.9742703616;92.7335274525;91.6805424638;92.3454612713;82.7991378562
2023-07-21;92.9948900524;94.9633294657;92.8110530432;91.8167691242;92.4677734968;82.8952309624
2023-07-24;92.8526984131;94.8867431944;92.6689227935;91.6578834293;92.333259392;82.7031215938
2023-07-25;92.6155678438;94.7882751313;92.2942157716;91.2037945612;91.8931114394;82.2228097505
2023-07-26;92.9678430247;94.8976840903;92.7335274525;91.6805424638;92.3454612713;82.5686066139
2023-07-27;92.3649984306;94.6861601029;91.8032203636;90.0004136519;91.147329639;80.7243566756
