Date,Rm,Rf,D,dp,xp
1909.12,-0.01731,-0.0301019,10.814,0.04351,0.06779
1910.03,-0.03137,0.000564341,10.894,0.04468,0.07117
1910.06,-0.05713,0.0284156,11.293,0.04891,0.07681
1910.09,0.01128,0.0309268,11.703,0.04935,0.0773
1910.12,0.0819,0.0631431,12.501,0.04786,0.07278
1911.03,0.06477,0.0306663,12.771,0.04915,0.06959
1911.06,0.08441,0.0409431,13.18,0.04756,0.06524
1911.09,-0.13809,-0.0453684,12.501,0.05715,0.07694
1911.12,0.0867,0.0303396,12.771,0.05105,0.07179
1912.03,-0.00794,-0.0313669,12.312,0.05211,0.07332
1912.06,0.02223,-0.0116548,12.132,0.05128,0.07254
1912.09,0.02144,-0.011739,11.962,0.04855,0.07181
1912.12,-0.02704,0.0221299,12.142,0.05083,0.07469
1913.03,-0.05828,0.00246531,12.022,0.05444,0.08036
1913.06,-0.06368,0.0122,12.022,0.0591,0.08702
1913.09,0.04398,-0.00775,11.782,0.05802,0.08444
1913.12,-0.04339,0.01233,11.782,0.0603,0.0895
1914.03,0.05988,0.0222525,11.533,0.05657,0.08558
1914.06,-0.00932,0.0074,11.163,0.0578,0.0875
1914.09,-0.07011,-0.0221809,10.474,0.06103,0.09523
1914.12,-0.01969,0.024595,10.205,0.05929,0.09831
1915.03,0.0654,0.0290574,10.474,0.05452,0.0934
1915.06,0.05477,-0.0136757,10.335,0.05298,0.08966
1915.09,0.09044,0.00693,10.394,0.049,0.08325
1915.12,0.0856,-0.013534,10.255,0.04591,0.07765
1916.03,-0.03916,-0.013623,10.814,0.04773,0.08212
1916.06,0.00548,-0.0223333,11.253,0.05012,0.08336
1916.09,0.01996,-0.0203622,11.673,0.05191,0.08372
1916.12,-0.01741,-0.0371228,11.852,0.05613,0.08762
1917.03,-0.06703,-0.026006,12.122,0.06154,0.09683
1917.06,-0.08825,-0.0694462,11.802,0.06972,0.10931
1917.09,-0.10422,-0.0124887,12.142,0.0786,0.12577
1917.12,-0.16637,-0.0187609,12.362,0.1002,0.15594
1918.03,0.07134,-0.0101261,11.573,0.09675,0.14956
1918.06,-0.00473,-0.0357143,10.524,0.09372,0.15393
1918.09,-0.03354,-0.0519904,9.386,0.09188,0.16262
1918.12,0.01493,-0.0363055,8.477,0.08273,0.16301
1919.03,0.0519,0.0185027,8.387,0.07187,0.15733
1919.06,0.11713,-0.0186686,7.988,0.06381,0.14242
1919.09,-0.05728,-0.0395198,7.449,0.06468,0.15248
1919.12,-0.05371,-0.0476058,6.89,0.06506,0.16232
1920.03,-0.05345,-0.0286168,6.54,0.06552,0.17246
1920.06,-0.12476,-0.0437677,6.111,0.07126,0.19827
1920.09,0.0554,0.0628695,6.321,0.06439,0.18877
1920.12,-0.09131,0.0492062,6.45,0.07253,0.20903
1921.03,0.09037,0.0786612,6.67,0.06869,0.19259
1921.06,0.00828,0.0572929,6.77,0.07322,0.19171
1921.09,0.033,0.0203776,6.63,0.07322,0.18597
1921.12,0.13637,0.0242052,6.53,0.06372,0.16355
1922.03,0.11357,0.046909,6.95,0.05756,0.1466
1922.06,0.10745,0.00978,7.129,0.05473,0.1323
1922.09,0.09341,0.0139516,7.359,0.05276,0.12099
1922.12,-0.03431,-0.00961846,7.409,0.05723,0.12556
1923.03,0.09523,0.015358,7.529,0.05362,0.11493
1923.06,-0.11238,-0.00150682,7.509,0.06226,0.13034
1923.09,-0.01859,-0.00166512,7.499,0.06472,0.13408
1923.12,0.05916,0.00475838,7.519,0.06188,0.12804
1924.03,0.04528,0.0218129,7.679,0.06003,0.1241
1924.06,0.01337,0.0152874,7.798,0.06105,0.1242
1924.09,0.08132,0.00183684,7.828,0.05857,0.11652
1924.12,0.10033,-0.00602543,7.808,0.05443,0.1074
1925.03,0.03648,0.00668,7.978,0.05309,0.10506
1925.06,0.04131,-0.0039352,8.068,0.05259,0.10207
1925.09,0.06715,-0.00388418,8.148,0.05072,0.09653
1925.12,0.0833,-0.00308458,8.228,0.04732,0.08971
1926.03,-0.0856016,0.014759,8.587,0.0499,0.09335
1926.06,0.118353,0.0134938,8.947,0.05023,0.0893
1926.09,0.0982193,0.0189536,9.366,0.04707,0.07879
1926.12,0.0103432,-0.0021935,9.576,0.04979,0.07687
1927.03,0.07439,0.0309585,10.075,0.04809,0.07126
1927.06,0.0362897,-0.00871983,10.185,0.04778,0.06614
1927.09,0.200452,0.0256832,10.644,0.04245,0.05612
1927.12,0.04013,0.00696,10.924,0.04284,0.05363
1928.03,0.0967087,0.020356,11.343,0.04135,0.05014
1928.06,0.01152,0.00842,11.633,0.04117,0.04782
1928.09,0.0925022,-0.00185422,11.782,0.03815,0.04347
1928.12,0.159009,0.0238767,12.202,0.03557,0.03952
1929.03,0.0566694,0.0171784,12.711,0.03279,0.03613
1929.06,0.0808719,0.00570409,13.07,0.03327,0.0358
1929.09,0.0784565,-0.000243064,13.34,0.02927,0.03071
1929.12,-0.264167,0.0177831,13.849,0.04321,0.04544
1930.03,0.186576,0.0257103,14.129,0.03916,0.04067
1930.06,-0.17186,0.0128834,14.249,0.04461,0.04573
1930.09,-0.068268,0.0164607,14.458,0.04604,0.04746
1930.12,-0.140068,0.0347161,14.948,0.06143,0.06229
1931.03,0.131056,0.0362001,14.798,0.05313,0.05382
1931.06,-0.0735563,0.0364599,14.638,0.0661,0.06639
1931.09,-0.331684,0.0081666,14.079,0.0757,0.07802
1931.12,-0.142205,0.0309726,13.789,0.10004,0.10746
1932.03,-0.0501136,0.0478211,12.981,0.09609,0.10624
1932.06,-0.370082,0.0328706,11.912,0.15503,0.1797
1932.09,0.921974,0.0158287,10.624,0.08128,0.10245
1932.12,-0.117042,0.0234224,9.366,0.08632,0.12111
1933.03,-0.101704,0.0400152,9.446,0.08069,0.12699
1933.06,0.875138,-0.00409402,9.086,0.04718,0.07634
1933.09,-0.127616,-0.0372727,8.467,0.04704,0.07738
1933.12,0.035,0.00025,8.188,0.04614,0.08142
1934.03,0.0760382,-0.00594075,8.168,0.04175,0.07545
1934.06,-0.087223,-0.0072741,8.158,0.04479,0.08138
1934.09,-0.0821296,-0.0145187,8.078,0.05114,0.09166
1934.12,0.0655397,0.0152501,8.248,0.04826,0.08592
1935.03,-0.126222,-0.0216533,8.068,0.05419,0.09617
1935.06,0.2186,0.00038,7.888,0.04449,0.07975
1935.09,0.14101,0.00038,7.888,0.03791,0.06936
1935.12,0.163954,-0.00674007,8.358,0.034,0.06189
1936.03,0.130432,0.00768204,8.957,0.03075,0.05359
1936.06,-0.00425819,-0.00674007,9.785,0.03335,0.05437
1936.09,0.0782236,-0.0139111,10.694,0.03395,0.05035
1936.12,0.08359,0.00046,12.631,0.03458,0.04734
1937.03,0.0372817,-0.0135817,12.971,0.03831,0.04537
1937.06,-0.147083,-0.01239,14.319,0.0483,0.05344
1937.09,-0.11513,-0.0128208,12.951,0.05715,0.05936
1937.12,-0.205121,0.0145276,13.64,0.07148,0.07688
1938.03,-0.178271,0.0215319,13.58,0.07453,0.0808
1938.06,0.3751,0.00022,12.881,0.07706,0.08138
1938.09,0.06463,-4e-05,11.493,0.06413,0.07002
1938.12,0.105601,0.00722343,8.947,0.05371,0.06347
1939.03,-0.158207,0.00702302,9.186,0.0449,0.06358
1939.06,0.00403326,0.00720609,9.426,0.04488,0.06741
1939.09,0.197928,-0.0213549,9.755,0.04212,0.06078
1939.12,-0.0232326,0.00720329,10.874,0.04511,0.06142
1940.03,-0.01001,-7e-05,11.043,0.04939,0.06183
1940.06,-0.177267,-0.00730071,11.323,0.06529,0.07786
1940.09,0.0926493,0.00724357,11.752,0.06052,0.07035
1940.12,0.00659007,-0.00715177,11.663,0.06344,0.0719
1941.03,-0.048389,-0.0072607,11.752,0.06832,0.07719
1941.06,-0.0280921,-0.0341005,11.523,0.07228,0.08221
1941.09,0.0204039,-0.0263635,11.383,0.07034,0.08144
1941.12,-0.145963,-0.0256603,11.243,0.08276,0.09915
1942.03,-0.0894719,-0.0305137,10.584,0.08973,0.11107
1942.06,0.0345227,-0.0178454,9.945,0.08626,0.11229
1942.09,0.0728956,-0.0112321,9.226,0.07816,0.11016
1942.12,0.0977382,-0.0227607,8.567,0.06815,0.10398
1943.03,0.181634,-0.0165477,8.417,0.05548,0.09217
1943.06,0.0608862,-0.0162485,8.278,0.05047,0.08683
1943.09,-0.00557759,0.00666236,8.467,0.04893,0.08822
1943.12,-0.01309,0.00091,8.607,0.05227,0.09313
1944.03,0.04707,0.00091,8.747,0.05012,0.08909
1944.06,0.079927,-0.0104739,8.787,0.04921,0.08671
1944.09,-0.0113573,-0.0047548,8.877,0.05033,0.08827
1944.12,0.0594842,-0.00471309,8.827,0.04885,0.08592
1945.03,0.03709,0.00091,8.967,0.0462,0.08115
1945.06,0.0965488,-0.0156797,8.817,0.04356,0.07616
1945.09,0.0851,0.00091,8.957,0.0415,0.07248
1945.12,0.0831557,-0.00458951,8.907,0.0381,0.06658
1946.03,0.0431783,-0.00455945,9.126,0.03808,0.06607
1946.06,0.00597155,-0.0204901,8.927,0.03745,0.0634
1946.09,-0.256226,-0.08249,8.308,0.0497,0.08445
1946.12,-0.0160938,-0.0502899,8.108,0.04832,0.08793
1947.03,-0.019924,-0.0173616,8.068,0.04771,0.08859
1947.06,0.00669323,-0.00362964,8.477,0.04944,0.09023
1947.09,-0.0382174,-0.0425983,8.437,0.05205,0.09236
1947.12,0.0157842,-0.0150594,8.817,0.05395,0.09363
1948.03,-0.00124,0.00239,8.917,0.0583,0.09817
1948.06,0.0932849,-0.026628,8.657,0.05163,0.08633
1948.09,-0.0788587,-0.0138673,8.717,0.05526,0.09476
1948.12,0.0160994,0.0181427,9.476,0.05588,0.09843
1949.03,0.0166048,0.0155112,10.105,0.06005,0.10099
1949.06,-0.0498921,-0.00130619,10.474,0.06923,0.11028
1949.09,0.11567,0.00272,10.684,0.06526,0.10117
1949.12,0.118773,0.0153854,11.862,0.06197,0.09497
1950.03,0.0482,0.00272,12.172,0.06323,0.09165
1950.06,0.0268677,-0.00556739,12.381,0.0627,0.08655
1950.09,0.101472,-0.021742,13.38,0.06423,0.0882
1950.12,0.0585501,-0.0207499,14.438,0.06703,0.08844
1951.03,0.0287791,-0.0277035,14.468,0.06874,0.08445
1951.06,-0.0124776,-7.56757e-05,14.788,0.07029,0.08609
1951.09,0.119297,-0.0037431,14.299,0.06637,0.08035
1951.12,0.0239473,-0.0109774,13.06,0.06703,0.08232
1952.03,0.0524127,0.0121086,13.26,0.06051,0.08089
1952.06,0.030434,-0.00374608,13.43,0.05853,0.08034
1952.09,-0.0124333,-0.00310375,13.33,0.05876,0.08042
1952.12,0.1023,0.00427,12.961,0.05567,0.07731
1953.03,-0.0320547,0.0088585,13.011,0.05457,0.07791
1953.06,-0.0393231,-0.00235112,13.011,0.05952,0.08602
1953.09,-0.0266021,0.00132372,12.961,0.06135,0.08977
1953.12,0.07787,0.00386,13.23,0.05719,0.08507
1954.03,0.09967,0.00349,13.42,0.05419,0.08051
1954.06,0.0959,0.00255,13.23,0.05054,0.07486
1954.09,0.120536,0.0053072,13.47,0.04616,0.06965
1954.12,0.13887,0.00622457,14.159,0.04155,0.06333
1955.03,0.02953,0.00251,14.349,0.04141,0.06165
1955.06,0.13162,0.00353,14.438,0.03903,0.05757
1955.09,0.0609429,-0.00375253,14.788,0.0356,0.05307
1955.12,0.0582942,0.00915149,15.028,0.03534,0.05279
1956.03,0.07556,0.00628,15.846,0.03427,0.05162
1956.06,-0.0367765,-0.00902074,16.246,0.0373,0.05507
1956.09,-0.0349162,-0.00126365,16.485,0.03849,0.05606
1956.12,0.0335955,5.03623e-05,15.477,0.03976,0.05815
1957.03,-0.0487531,0.000976547,15.277,0.04073,0.06289
1957.06,0.0747124,-0.00324633,15.117,0.03699,0.05977
1957.09,-0.101704,0.00108484,15.267,0.03975,0.06598
1957.12,-0.056205,0.00516817,15.477,0.04353,0.07314
1958.03,0.0500506,-0.00704528,15.087,0.04286,0.07181
1958.06,0.0813354,-0.000749619,14.698,0.04011,0.06833
1958.09,0.11678,0.00185,14.698,0.0356,0.06277
1958.12,0.11395,0.00674,14.868,0.03234,0.05761
1959.03,0.01648,0.00678,15.038,0.03093,0.05494
1959.06,0.0565482,0.00032732,15.097,0.03089,0.05421
1959.09,-0.0278117,0.0012585,15.167,0.03158,0.05518
1959.12,0.0582383,0.00694333,15.287,0.03075,0.05369
1960.03,-0.06883,0.0111,16.206,0.03314,0.05785
1960.06,0.0320095,0.000871351,16.176,0.03347,0.05611
1960.09,-0.05137,0.00554,16.176,0.03565,0.05865
1960.12,0.0886344,-0.000900671,16.066,0.03457,0.05694
1961.03,0.13153,0.00559,15.986,0.03041,0.05039
1961.06,0.00077,0.00606,15.986,0.02961,0.04918
1961.09,0.0326495,-0.0010146,16.036,0.02904,0.0483
1961.12,0.07972,0.00564,16.535,0.02731,0.04537
1962.03,-0.0245615,0.00338538,16.635,0.02854,0.04664
1962.06,-0.208928,0.00363566,16.745,0.03667,0.05943
1962.09,0.0283497,0.000722697,16.795,0.03564,0.05773
1962.12,0.13484,0.00694,17.204,0.03322,0.05381
1963.03,0.0589666,0.00411698,17.304,0.03228,0.05185
1963.06,0.0463792,0.00408791,17.654,0.03078,0.04906
1963.09,0.0372204,0.00429798,17.674,0.03016,0.04771
1963.12,0.0501884,0.00208178,18.113,0.02994,0.04753
1964.03,0.06288,0.00896,18.512,0.02874,0.04511
1964.06,0.03825,0.00572523,18.852,0.02893,0.04484
1964.09,0.0343434,0.0054865,19.261,0.02852,0.04368
1964.12,0.0123847,0.00577599,19.671,0.029,0.04395
1965.03,0.0227021,0.00631463,20,0.02865,0.043
1965.06,-0.0253616,0.000401487,20.28,0.03018,0.04467
1965.09,0.07723,0.00967,20.669,0.02916,0.04278
1965.12,0.0289775,0.00386642,20.999,0.029,0.0422
1966.03,-0.0390555,0.00195757,21.258,0.03076,0.04423
1966.06,-0.0509199,0.00211444,21.448,0.03248,0.04639
1966.09,-0.0970011,0.00234899,21.698,0.03661,0.05219
1966.12,0.0539936,0.0073886,21.418,0.0355,0.05067
